CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLAGU10M1,"INDUSTRIAS DEL INTERIOR, S. DE R.L. DE C.V.",PRESA AJOJUCAR,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,DREN AGRICOLA Y SUELO,LÓTICO,DESCARGA,21.79912,-102.29228
DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,RÍO SAN PEDRO,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA EL JOCOQUI,LÉNTICO,PRESA,22.12123,-102.35794
DLAGU12,PRESA EL JOCOQUI COLA,RÍO SAN PEDRO,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA EL JOCOQUI,LÉNTICO,PRESA,22.1358,-102.37846
DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.14165,-102.41856
DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.15254,-102.4263
DLAGU15,PRESA PRESIDENTE CALLES TECONGO,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.13077,-102.44221
DLAGU16,PRESA PRESIDENTE CALLES RIO BLANCO,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.14564,-102.44423
DLAGU17,PRESA PRESIDENTE CALLES PAREDES,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.13645,-102.45887
DLAGU18,PRESA 50 ANIVERSARIO CORTINA,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA 50 ANIVERSARIO,LÉNTICO,PRESA,22.18899,-102.4653
DLAGU19,POZO PASO BLANCO,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557
